player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count,quality
Denis Shapovalov,2023-wimbledon-1312,1,1,1,00:00:00,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,3,117.0,0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denis Shapovalov,2023-wimbledon-1312,1,1,2,00:00:24,0,15,1,1,0,0,0,0,0.0,0.0,0,0,0,0,4,113.0,0,2,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
Denis Shapovalov,2023-wimbledon-1312,1,1,3,00:00:52,15,15,1,1,0,0,0,0,0.0,0.0,0,0,0,0,8,116.0,0,3,0,1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0
Denis Shapovalov,2023-wimbledon-1312,1,1,4,00:01:31,30,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,5,118.0,0,1,0,1,1.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,10.75,1.0
Denis Shapovalov,2023-wimbledon-1312,1,1,5,00:02:03,30,30,1,1,0,0,0,0,1.0,0.0,0,0,0,0,4,97.0,0,3,1,1,0.75,1.125,0.0,0.0,0.0,0.0,0.0,0.0,10.375,1.0
Denis Shapovalov,2023-wimbledon-1312,1,1,6,00:02:57,40,30,1,1,0,0,1,0,0.0,0.0,1,1,0,0,4,97.0,0,2,1,1,1.375,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,9.1875,0.0
Denis Shapovalov,2023-wimbledon-1312,1,2,7,00:04:14,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,4,112.0,0,3,1,0,1.6875,0.28125,1.0,0.0,1.0,1.0,0.0,0.0,8.59375,0.0
Denis Shapovalov,2023-wimbledon-1312,1,2,8,00:05:07,0,15,0,0,1,1,0,0,0.0,0.0,0,0,0,0,2,116.0,0,2,1,1,0.84375,1.140625,0.5,0.0,0.5,0.5,0.0,0.0,8.296875,0.6666666666666666
Denis Shapovalov,2023-wimbledon-1312,1,2,9,00:05:46,0,30,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,118.0,0,4,0,0,0.421875,1.5703125,0.25,0.0,0.25,0.25,0.0,0.0,6.1484375,1.0
Denis Shapovalov,2023-wimbledon-1312,1,2,10,00:06:11,15,30,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,114.0,0,0,1,2,1.2109375,0.78515625,0.125,0.0,0.125,0.125,0.0,0.0,4.07421875,1.0
